Date,Open,High,Low,Close,Volume
2024-01-26,26069.22878,26090.464075,25917.340219,26000.0,4519809
2024-01-29,26038.159182,27412.89978,25891.174561,27254.624888,3318301
2024-01-30,27147.324748,29110.390936,27124.445364,29065.39878,2262998
2024-01-31,29121.425102,29305.470555,28575.125445,28730.774599,807033
2024-02-01,28771.580995,30889.478417,28631.162865,30601.146464,5918683
2024-02-02,30574.239731,30746.142432,29752.784541,30016.293874,1615503
2024-02-05,30050.238536,32420.705301,29774.606566,32215.09539,4334179
2024-02-06,32254.314439,32291.491549,31747.560582,31947.330505,7630677
2024-02-07,32046.827135,32209.278098,31558.72179,31602.432318,1641842
2024-02-08,31698.337761,34267.734068,31482.906537,34123.617836,4185995
2024-02-09,34143.677004,34272.648404,33398.819695,33466.20777,5219860
2024-02-12,33538.38068,33820.759768,31871.421791,32112.509167,7686241
2024-02-13,32226.921481,33099.454374,31914.885632,33064.339213,1208455
2024-02-14,33071.381923,33072.516425,32460.185934,32690.153293,5856891
2024-02-15,32576.996212,32727.41466,30383.495316,30595.545788,875767
2024-02-16,30705.762045,32689.405768,30577.541448,32455.615536,4928230
2024-02-19,32397.708641,32482.344219,29652.376978,29673.984506,7593475
2024-02-20,29697.916845,30622.641399,29582.400826,30541.875516,6236412
2024-02-21,30439.495576,30554.959811,30117.623924,30172.553968,7519549
2024-02-22,30089.789041,31279.314937,29960.698371,31200.731393,1342402
2024-02-23,31216.236602,31405.724426,31045.242823,31347.60763,2227459
2024-02-26,31277.055058,31926.06757,31219.478977,31870.758588,6084807
2024-02-27,31857.63942,34231.210237,31794.744885,34119.418427,998557
2024-02-28,34069.959755,34913.003531,33980.794307,34650.979012,6783083
2024-02-29,34688.575636,34913.161062,30822.744327,31012.709264,1500483
2024-03-01,31122.338326,32590.217156,30859.763661,32431.723477,5981180
2024-03-04,32560.510725,32801.832306,30616.35029,30697.994452,6082190
2024-03-05,30783.049819,32943.385397,30748.506053,32853.003128,7469117
2024-03-06,32772.273479,33029.425511,32539.082376,32750.07963,2190410
2024-03-07,32855.646728,32880.926128,30755.657039,31049.762345,5851794
2024-03-08,31112.557219,32764.773616,30878.87735,32636.585938,4790551
2024-03-11,32603.870928,33391.797727,32330.983257,33165.872383,3980964
2024-03-12,33167.953092,33291.988539,31951.214818,32145.045295,2563354
2024-03-13,32133.534696,32207.21224,32044.397138,32180.687188,5177197
2024-03-14,32055.724707,33296.673616,31868.321438,33053.198374,6894741
2024-03-15,32981.140653,35248.097029,32764.278967,35102.685433,7957227
2024-03-18,35162.057269,36464.416883,34987.030138,36157.362547,2410076
2024-03-19,36286.726344,39019.774411,36175.157322,38953.494726,3873140
2024-03-20,38969.927861,39197.411237,38586.075634,38925.361619,1535963
2024-03-21,38989.81047,39015.879318,35695.794673,36014.677434,7241475
2024-03-22,36122.518177,36363.918564,34282.114553,34495.295396,4751090
2024-03-25,34541.336133,34781.091967,33325.421323,33415.227788,5806842
2024-03-26,33299.394652,34286.200846,32993.521077,34202.661543,2235355
2024-03-27,34262.147014,35403.030049,34239.223945,35088.569871,5997469
2024-03-28,35082.978763,35401.049736,34782.607481,35151.293224,6623395
2024-03-29,35254.068259,35389.279836,34382.987655,34517.349326,4325450
2024-04-01,34653.802659,34935.944077,33076.339623,33237.906424,3143450
2024-04-02,33255.765414,33714.807356,32939.398894,33448.920724,3517950
2024-04-03,33582.578799,33802.682484,33392.630003,33428.511773,7744999
2024-04-04,33312.582138,35507.216607,33168.315899,35202.604794,7359896
2024-04-05,35191.197739,35348.193378,33240.766151,33343.770333,2934119
2024-04-08,33275.572688,33604.627176,31888.895809,32039.792253,3988046
2024-04-09,31949.620164,32139.753109,30750.072329,30797.781476,7379303
2024-04-10,30791.798575,30801.041404,30331.382916,30511.726961,7233641
2024-04-11,30412.126119,30432.13447,29989.887773,30167.698313,3460071
2024-04-12,30277.065354,30435.02089,27686.098982,27815.184364,518252
2024-04-15,27821.337239,29903.266361,27553.742518,29702.92264,714293
2024-04-16,29650.187855,29901.767533,28958.452983,29131.403502,4729257
2024-04-17,29188.253565,29355.019326,28984.770482,29126.660555,7569907
2024-04-18,29050.433152,29236.404137,28514.252863,28678.631621,1319850
2024-04-19,28586.503981,28885.146296,28512.255294,28851.978985,6311417
2024-04-22,28966.615026,29197.498035,28159.775744,28391.038132,2299768
2024-04-23,28384.256046,28567.737817,27440.248683,27475.223297,6269510
2024-04-24,27412.614297,30366.30811,27144.084022,30204.904425,6487199
2024-04-25,30087.82749,30301.899471,29636.695141,29875.518137,546883
2024-04-26,29921.873541,30003.743739,29081.339541,29264.832275,4976787
2024-04-29,29155.397171,29373.585427,28979.944931,29058.592582,6811734
2024-04-30,29167.257187,29435.629356,26823.272751,27077.170784,3478477
2024-05-01,27014.272472,27317.264404,26997.374654,27109.049118,2857661
2024-05-02,27029.26945,27921.549418,26826.877614,27766.588304,4617917
2024-05-03,27678.911625,28578.301317,27654.254728,28390.087217,7282702
2024-05-06,28353.669313,28535.271168,26694.197248,26888.36502,7139305
2024-05-07,26863.021649,28464.630708,26721.916895,28280.388712,4898266
2024-05-08,28263.675884,28942.695674,27988.498442,28695.335747,2929602
2024-05-09,28706.734541,29874.81359,28571.516637,29589.213729,1236942
2024-05-10,29589.856564,30258.526501,29500.785149,30130.458652,1354015
2024-05-13,30096.754616,30119.468522,29243.30118,29318.769868,5351685
2024-05-14,29401.37159,29404.212458,29223.044573,29257.416713,1481570
2024-05-15,29240.117199,29317.323483,28536.364452,28822.132426,717429
2024-05-16,28900.838666,29057.052247,28202.821977,28245.273871,697973
2024-05-17,28139.920823,28550.514262,28102.48555,28312.625598,925550
2024-05-20,28312.009121,28482.241206,27384.5813,27647.293766,2969913
2024-05-21,27755.792339,27769.76224,27299.068551,27464.969711,1594611
2024-05-22,27450.887276,29614.984632,27302.042927,29449.962488,1796761
2024-05-23,29401.652713,31520.485919,29226.399822,31247.945786,5021802
2024-05-24,31130.704699,31238.794832,30956.579974,31011.581716,6244290
2024-05-27,31110.959196,31263.654362,29279.233908,29552.868192,5592245
2024-05-28,29468.459009,31055.300208,29277.711439,30901.01126,5168287
2024-05-29,31005.552841,31639.431984,30932.134243,31424.361237,2755653
2024-05-30,31306.438094,34156.722861,31010.208516,33916.312149,1356303
2024-05-31,33807.646562,34180.92099,33542.022428,33942.933879,7611554
2024-06-03,33931.462773,33960.763635,33028.605807,33227.793658,2535834
2024-06-04,33309.020858,33476.076806,33079.741392,33250.725283,1938165
2024-06-05,33232.428827,33500.122004,30764.220801,30899.522947,2546796
2024-06-06,30776.246756,31796.470214,30547.966604,31786.952585,5597687
2024-06-07,31820.523195,33220.060376,31648.904218,33204.434398,6510508
2024-06-10,33261.657463,33277.871272,32168.796093,32490.051857,3832565
2024-06-11,32562.848155,32634.442306,31562.324389,31702.737163,3022307
2024-06-12,31634.772817,31688.901062,30475.840449,30757.944138,4948233
2024-06-13,30734.933547,30864.383094,30541.101925,30641.613522,2548658
2024-06-14,30713.389353,30809.3427,29074.860688,29341.713701,6992197
2024-06-17,29331.636996,31034.404842,29136.79421,30777.464576,749159
2024-06-18,30718.360474,31017.943923,29606.40955,29797.050296,3039581
2024-06-19,29759.436595,30701.84734,29556.144034,30645.716074,6652342
2024-06-20,30694.217618,31793.278273,30532.19893,31588.429455,2299443
2024-06-21,31557.259986,32210.481081,31445.517199,32087.415934,7153344
2024-06-24,31964.59889,31964.737,31508.710713,31549.166854,6664616
2024-06-25,31551.551358,31726.408155,30038.166035,30040.27411,7700991
2024-06-26,30017.331844,30279.189245,29045.891578,29063.87096,7560993
2024-06-27,29057.630182,29681.951303,28942.87721,29592.694441,1679888
2024-06-28,29534.074869,30937.259136,29410.110909,30735.104697,2732488
2024-07-01,30654.598889,31110.374736,30602.563712,30911.555507,758269
2024-07-02,30789.389083,31379.858974,30514.434037,31269.889158,6088490
2024-07-03,31282.649371,31516.089082,31082.689544,31104.60184,6101528
2024-07-04,31137.630959,31313.707366,31124.387651,31163.801344,4732905
2024-07-05,31278.916494,32079.804778,30973.84223,31997.001363,4226082
2024-07-08,31872.383559,33489.958263,31636.692455,33385.108881,4259449
2024-07-09,33477.745893,33741.359179,32045.034256,32256.011751,2708560
2024-07-10,32367.037864,32489.294607,31814.201062,32104.117404,3193273
2024-07-11,32001.191836,32079.836099,31787.925118,31841.692325,7983068
2024-07-12,31772.434277,33368.78823,31706.408137,33182.01602,6689547
2024-07-15,33166.488937,37245.566528,33090.287136,36954.129495,2976419
2024-07-16,37095.686435,37403.036858,34806.765889,35022.153523,2306712
2024-07-17,34908.080448,36983.333361,34576.677518,36882.10444,1489825
2024-07-18,36811.380853,38639.96396,36472.313036,38324.710422,5267952
2024-07-19,38306.941462,41424.634485,38101.971675,41150.085397,7687501
2024-07-22,41251.968788,41523.127344,39233.86753,39619.572152,3182344
2024-07-23,39551.9927,39864.704024,39042.219106,39434.540092,5565136
2024-07-24,39379.695042,39469.715369,36595.754106,36794.094882,5565128
2024-07-25,36790.685443,37147.611538,35962.088783,36195.136054,2228561
2024-07-26,36056.258497,37619.331397,35743.626769,37333.516369,3523467
2024-07-29,37294.837387,38729.401293,36922.975872,38615.747002,7794591
